ID,t,x,v
272,0.0999999046325541,468.58988053276096,57.354825600000005
351,0.0999999046325541,228.7688202771353,34.783776
272,0.2000000476837158,470.15574629428176,56.9598048
351,0.2000000476837158,229.7026854712765,34.772803200000006
351,0.2999999523162842,230.66730999473384,35.716463999999995
272,0.2999999523162842,471.7241267483281,57.223152
351,0.3999998569488383,231.67556006925255,36.978336000000006
272,0.3999998569488383,473.3209463772977,57.79373760000001
272,0.5,474.93730406455353,58.474051200000005
351,0.5,232.7302726828016,37.93296960000001
272,0.5999999046325541,476.5689755669373,59.143392000000006
351,0.5999999046325541,233.80328228669973,38.3718816
351,0.7000000476837158,234.8741667924162,38.42674560000001
272,0.7000000476837158,478.2206470864463,59.68105920000001
351,0.7999999523162842,235.940177082992,38.4048
272,0.7999999523162842,479.90056736716775,59.8127328
272,0.8999998569488383,481.57713597177656,59.088528
351,0.8999998569488383,237.0067918984961,38.4048
272,1.0,483.1980403608642,57.76081920000001
351,1.0,238.07340820993795,38.4048
272,1.099999904632554,484.77578431314055,56.7622944
351,1.099999904632554,239.14003236111492,38.4048
272,1.2000000476837158,486.32039518126953,56.7184032
351,1.2000000476837158,240.20665158899567,38.4048
272,1.2999999523162842,487.89157660218814,57.5852544
351,1.2999999523162842,241.27327857784888,38.4048
351,1.3999998569488383,242.3399006539433,38.4048
272,1.3999998569488383,489.5067717397094,58.814208
272,1.5,491.1729168843324,59.57133120000001
351,1.5,243.40621940471777,38.4048
351,1.599999904632554,244.47498368740415,38.3389632
272,1.599999904632554,492.8453423459085,59.6152224
351,1.7000000476837158,245.5397815080541,38.185344
272,1.7000000476837158,494.49735040308383,59.41771200000001
272,1.7999999523162842,496.13484887039897,59.395766400000014
351,1.7999999523162842,246.5960480564682,38.0865888
272,1.8999998569488383,497.7758987423937,59.83467840000001
351,1.8999998569488383,247.6496661578481,38.0865888
351,2.0,248.70637563482188,38.185344
272,2.0,499.4449835753244,60.7454208
351,2.099999904632554,249.77099649810395,38.3389632
272,2.099999904632554,501.1435220331657,61.8536736
272,2.200000047683716,502.8783861224931,63.0936
351,2.200000047683716,250.83989044884677,38.4048
272,2.299999952316284,504.6487299448888,64.33352640000001
